region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
187,11.81,69.74,3.75,0.57,1,0,0,11.81,69.74,11.81,200,14.14,2.09,359.2,18.95,2.67,-0.83,0.56
188,14.48,69.74,2.92,0.47,1,0,0,14.48,69.74,14.48,200,14.14,2.09,292.57,17.1,2.47,-1,0.05
189,19.94,69.74,1.83,0.26,1,0,0,19.94,69.74,19.94,682.02,26.12,3.31,456.93,21.38,2.91,-0.83,-0.55
190,22.74,69.74,1.14,0.06,1,0,0,22.74,69.74,22.74,1074.16,32.77,3.76,470.98,21.7,2.94,-0.97,-0.24
191,41.25,69.74,1.15,0.06,1,0,0,41.25,69.74,41.25,506.49,22.51,3.01,53.89,7.34,0.94,-0.94,0.34
192,-1.3,72.25,2.92,0.47,1,0,0,-1.3,72.25,1.3,0,0,0,0,0,0,0.71,-0.7
193,17.19,72.25,2.46,0.39,1,0,0,17.19,72.25,17.19,200,14.14,2.09,580.92,24.1,3.15,-0.96,-0.29
194,19.94,72.25,1.98,0.3,1,0,0,19.94,72.25,19.94,1833.67,42.82,4.3,691.73,26.3,3.32,-0.94,-0.35
195,48.63,72.25,0.86,-0.06,0,1,0,48.63,72.25,48.63,308.31,17.56,2.52,566.1,23.79,3.12,-0.58,-0.81
196,52.75,72.25,0.73,-0.13,1,0,0,52.75,72.25,52.75,200,14.14,2.09,754.86,27.47,3.41,-0.17,0.99
197,-1.3,74.76,2.8,0.45,1,0,0,-1.3,74.76,1.3,0,0,0,0,0,0,0.14,-0.99
198,19.94,74.76,1.99,0.3,1,0,0,19.94,74.76,19.94,1076.61,32.81,3.76,942.19,30.7,3.63,-0.97,-0.25
199,48.63,74.76,1.25,0.1,1,0,0,48.63,74.76,48.63,236.95,15.39,2.26,691.97,26.31,3.32,-0.76,-0.65
200,48.63,77.27,0.86,-0.07,1,1,0,48.63,77.27,48.63,200,14.14,2.09,796.42,28.22,3.46,-0.53,-0.85
201,52.75,77.27,1.23,0.09,1,1,0,52.75,77.27,52.75,200,14.14,2.09,868.18,29.46,3.55,-0.48,0.88
202,11.81,84.8,3.12,0.49,1,0,0,11.81,84.8,11.81,0,0,0,0,0,0,0.96,-0.29
203,11.81,87.31,3.45,0.54,1,0,0,11.81,87.31,11.81,0,0,0,0,0,0,0.72,-0.69
204,17.19,92.33,2.71,0.43,1,0,0,17.19,92.33,17.19,1127.39,33.58,3.81,147.86,12.16,1.8,-0.84,-0.55
205,17.19,94.84,2.96,0.47,0,1,0,17.19,94.84,17.19,766.47,27.69,3.42,301.49,17.36,2.5,-0.22,-0.98
206,37.87,97.35,0.7,-0.15,0,1,0,37.87,97.35,37.87,953.26,30.87,3.64,1435.07,37.88,4.05,-1,-0.02
207,41.25,99.86,0.76,-0.12,0,1,0,41.25,99.86,41.25,600,24.49,3.18,1694.97,41.17,4.22,-0.98,-0.21
208,14.48,102.37,2.87,0.46,1,0,0,14.48,102.37,14.48,200,14.14,2.09,749.86,27.38,3.4,1,0.01
209,9.16,104.88,4.58,0.66,1,0,0,9.16,104.88,9.16,200,14.14,2.09,602.12,24.54,3.18,1,0.07
210,44.82,104.88,1.24,0.09,0,1,0,44.82,104.88,44.82,200,14.14,2.09,1954.39,44.21,4.36,0.98,-0.17
211,11.81,107.39,2.83,0.45,1,0,0,11.81,107.39,11.81,200,14.14,2.09,286.87,16.94,2.45,0.75,0.66
212,28.52,107.39,2.08,0.32,1,0,0,28.52,107.39,28.52,1054.91,32.48,3.74,1049.23,32.39,3.74,0.96,-0.29
213,31.53,107.39,2.54,0.41,1,1,0,31.53,107.39,31.53,1686.75,41.07,4.21,1159.13,34.05,3.84,0.94,-0.35
214,-52.75,109.9,1.7,0.23,1,0,0,-52.75,109.9,52.75,200,14.14,2.09,637.65,25.25,3.24,-0.99,-0.15
215,6.53,109.9,5.89,0.77,1,0,0,6.53,109.9,6.53,200,14.14,2.09,173.97,13.19,1.96,0.97,0.22
