region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
182,9.16,37.11,0.9,-0.05,1,0,0,9.16,37.11,9.16,200,14.14,2.09,618.75,24.87,3.21,0.43,-0.9
183,11.81,37.11,0.87,-0.06,1,0,0,11.81,37.11,11.81,200,14.14,2.09,741.14,27.22,3.39,0.94,0.35
184,17.19,37.11,0.77,-0.12,1,0,0,17.19,37.11,17.19,200,14.14,2.09,420.84,20.51,2.83,-0.62,0.79
185,37.87,37.11,0.31,-0.51,1,0,0,37.87,37.11,37.87,736.45,27.14,3.38,151.13,12.29,1.83,-0.06,1
186,41.25,37.11,0.44,-0.35,1,0,0,41.25,37.11,41.25,0,0,0,0,0,0,0.03,1
187,-9.16,39.62,1.87,0.27,1,0,0,-9.16,39.62,9.16,0,0,0,0,0,0,0.27,-0.96
188,-3.91,39.62,1.45,0.16,1,1,0,-3.91,39.62,3.91,100,10,1.44,90.29,9.5,1.35,1,0.02
189,11.81,39.62,1.13,0.05,0,1,0,11.81,39.62,11.81,200,14.14,2.09,494.55,22.24,2.99,0.85,0.52
190,31.53,39.62,0.14,-0.85,0,1,0,31.53,39.62,31.53,0,0,0,0,0,0,0.1,-1
191,37.87,39.62,0.3,-0.53,1,0,0,37.87,39.62,37.87,331.49,18.21,2.59,156.84,12.52,1.86,0.21,0.98
192,28.52,42.13,0.16,-0.8,0,1,0,28.52,42.13,28.52,0,0,0,0,0,0,-0.83,-0.56
193,31.53,42.13,0.13,-0.9,0,1,0,31.53,42.13,31.53,0,0,0,0,0,0,0.47,-0.89
194,41.25,42.13,0.29,-0.54,1,0,0,41.25,42.13,41.25,0,0,0,0,0,0,0.28,0.96
195,9.16,47.15,1.55,0.19,0,1,0,9.16,47.15,9.16,0,0,0,0,0,0,1,0.02
196,22.74,47.15,0.51,-0.29,0,1,0,22.74,47.15,22.74,0,0,0,0,0,0,0.93,0.38
197,34.64,47.15,0.13,-0.9,0,1,0,34.64,47.15,34.64,0,0,0,0,0,0,-0.92,0.39
198,6.53,49.66,2.14,0.33,0,1,0,6.53,49.66,6.53,0,0,0,0,0,0,0.89,-0.45
199,34.64,49.66,0.16,-0.8,0,1,0,34.64,49.66,34.64,0,0,0,0,0,0,0.82,0.57
200,52.75,49.66,0.94,-0.03,1,0,0,52.75,49.66,52.75,200,14.14,2.09,382.46,19.56,2.73,0.05,-1
201,11.81,52.17,1.67,0.22,0,1,0,11.81,52.17,11.81,0,0,0,0,0,0,1,0.08
202,17.19,52.17,0.79,-0.1,0,1,0,17.19,52.17,17.19,0,0,0,0,0,0,0.91,0.42
203,19.94,52.17,0.77,-0.11,0,1,0,19.94,52.17,19.94,0,0,0,0,0,0,0,-1
204,34.64,52.17,0.21,-0.68,0,1,0,34.64,52.17,34.64,0,0,0,0,0,0,0.8,0.6
205,52.75,52.17,1.01,0,1,0,0,52.75,52.17,52.75,200,14.14,2.09,391.04,19.77,2.75,-0.23,-0.97
206,17.19,54.68,0.62,-0.21,0,1,0,17.19,54.68,17.19,0,0,0,0,0,0,-0.99,-0.16
207,25.59,57.19,0.44,-0.36,0,1,0,25.59,57.19,25.59,0,0,0,0,0,0,-0.99,-0.15
208,48.63,57.19,0.49,-0.31,1,0,0,48.63,57.19,48.63,375.1,19.37,2.71,259.47,16.11,2.35,0.24,-0.97
209,48.63,59.7,0.45,-0.34,0,1,0,48.63,59.7,48.63,200,14.14,2.09,252,15.87,2.32,0.1,-1
210,31.53,62.21,0.49,-0.31,1,0,0,31.53,62.21,31.53,0,0,0,0,0,0,-0.99,0.16
211,22.74,64.72,0.83,-0.08,0,1,0,22.74,64.72,22.74,0,0,0,0,0,0,-0.99,0.12
212,25.59,67.23,0.56,-0.25,0,1,0,25.59,67.23,25.59,2107.35,45.91,4.43,203.55,14.27,2.11,-1,-0.1
213,34.64,67.23,0.58,-0.23,0,1,0,34.64,67.23,34.64,2639.88,51.38,4.66,129.51,11.38,1.68,-0.75,0.66
214,41.25,67.23,0.25,-0.6,0,1,0,41.25,67.23,41.25,0,0,0,0,0,0,-0.87,0.49
215,25.59,69.74,0.63,-0.2,0,1,0,25.59,69.74,25.59,3421.65,58.49,4.92,430.74,20.75,2.85,-0.73,-0.68
216,28.52,69.74,0.62,-0.2,0,1,0,28.52,69.74,28.52,2565.13,50.65,4.63,542.47,23.29,3.08,-1,0
217,6.53,72.25,2.63,0.42,1,0,0,6.53,72.25,6.53,601.21,24.52,3.18,718.96,26.81,3.36,-1,0.02
218,11.81,72.25,1.99,0.3,1,0,0,11.81,72.25,11.81,200,14.14,2.09,604.71,24.59,3.19,-0.94,0.34
219,31.53,72.25,1.94,0.29,0,1,0,31.53,72.25,31.53,2992.9,54.71,4.79,551.98,23.49,3.1,0.15,0.99
220,6.53,74.76,2.15,0.33,1,0,0,6.53,74.76,6.53,338.7,18.4,2.61,561.91,23.7,3.11,0.76,-0.65
221,44.82,74.76,0.18,-0.75,0,1,0,44.82,74.76,44.82,200,14.14,2.09,339.44,18.42,2.61,-0.63,-0.77
222,52.75,74.76,0.39,-0.41,0,1,0,52.75,74.76,52.75,200,14.14,2.09,798.62,28.26,3.46,-0.34,0.94
223,-69.02,77.27,0.69,-0.16,0,0,1,-69.02,77.27,69.02,200,14.14,2.09,132.75,11.52,1.7,0,1
224,6.53,77.27,2.78,0.44,1,0,0,6.53,77.27,6.53,200,14.14,2.09,395.3,19.88,2.76,0.37,-0.93
225,9.16,77.27,2.56,0.41,1,0,0,9.16,77.27,9.16,200,14.14,2.09,657.58,25.64,3.27,0.74,-0.67
226,25.59,77.27,0.89,-0.05,1,0,0,25.59,77.27,25.59,815.18,28.55,3.49,1095.55,33.1,3.78,0,1
227,44.82,77.27,0.16,-0.8,0,1,0,44.82,77.27,44.82,200,14.14,2.09,490.91,22.16,2.98,-0.86,-0.52
228,-69.02,79.78,0.58,-0.24,0,0,1,-69.02,79.78,69.02,200,14.14,2.09,133.22,11.54,1.71,0.14,0.99
229,25.59,79.78,1,0,1,0,0,25.59,79.78,25.59,747.66,27.34,3.4,1029.53,32.09,3.72,0.57,-0.82
230,22.74,82.29,1.28,0.11,0,1,0,22.74,82.29,22.74,2032.13,45.08,4.4,632.28,25.15,3.23,0.36,-0.93
231,41.25,82.29,0.05,-1.28,0,1,0,41.25,82.29,41.25,3252.25,57.03,4.87,329.28,18.15,2.58,-0.8,-0.59
232,62.55,82.29,0.67,-0.17,0,1,0,62.55,82.29,62.55,200,14.14,2.09,333.57,18.26,2.6,-0.94,0.34
233,44.82,84.8,0.08,-1.1,0,1,0,44.82,84.8,44.82,286.82,16.94,2.45,754.23,27.46,3.41,-0.64,-0.77
