region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
138,48.63,-95.92,0.66,-0.18,0,0,0,48.63,-95.92,48.63,200,14.14,2.09,1192.49,34.53,3.87,-0.97,0.25
139,52.75,-95.92,0.63,-0.2,0,0,0,52.75,-95.92,52.75,200,14.14,2.09,1156.78,34.01,3.83,-0.99,0.16
140,57.32,-95.92,0.72,-0.14,0,0,0,57.32,-95.92,57.32,200,14.14,2.09,1185.41,34.43,3.86,-0.96,-0.27
141,62.55,-95.92,0.72,-0.14,0,0,0,62.55,-95.92,62.55,200,14.14,2.09,1404.14,37.47,4.03,-1,-0.07
142,69.02,-95.92,0.51,-0.29,0,0,0,69.02,-95.92,69.02,200,14.14,2.09,1069.64,32.71,3.76,0.74,0.67
143,17.19,-93.41,0.85,-0.07,1,0,0,17.19,-93.41,17.19,0,0,0,0,0,0,-0.93,-0.38
144,19.94,-93.41,0.6,-0.22,1,0,0,19.94,-93.41,19.94,0,0,0,0,0,0,-0.85,-0.53
145,22.74,-93.41,0.86,-0.06,0,0,0,22.74,-93.41,22.74,2912.86,53.97,4.76,138.36,11.76,1.74,-0.83,-0.55
146,25.59,-93.41,0.79,-0.1,0,0,0,25.59,-93.41,25.59,3400,58.31,4.91,410.38,20.26,2.8,-0.28,-0.96
147,28.52,-93.41,0.7,-0.15,0,0,0,28.52,-93.41,28.52,2823.26,53.13,4.73,331.09,18.2,2.59,0.86,0.51
148,31.53,-93.41,1.07,0.03,0,0,0,31.53,-93.41,31.53,402,20.05,2.78,286.69,16.93,2.45,0.98,-0.18
149,34.64,-93.41,1.34,0.13,0,0,0,34.64,-93.41,34.64,200,14.14,2.09,470.19,21.68,2.94,0.8,-0.61
150,37.87,-93.41,1.33,0.12,0,0,0,37.87,-93.41,37.87,200,14.14,2.09,689.62,26.26,3.32,0.8,-0.6
151,41.25,-93.41,1.01,0,0,1,0,41.25,-93.41,41.25,200,14.14,2.09,963.15,31.03,3.65,0.57,-0.82
152,44.82,-93.41,0.85,-0.07,0,0,0,44.82,-93.41,44.82,200,14.14,2.09,1287.61,35.88,3.94,0.57,-0.82
153,48.63,-93.41,0.71,-0.15,0,0,0,48.63,-93.41,48.63,200,14.14,2.09,1371.26,37.03,4,-0.97,0.25
154,52.75,-93.41,0.7,-0.15,0,0,0,52.75,-93.41,52.75,200,14.14,2.09,1323.36,36.38,3.97,-0.99,0.17
155,57.32,-93.41,0.75,-0.13,0,0,0,57.32,-93.41,57.32,200,14.14,2.09,1331.87,36.49,3.98,-0.98,-0.2
156,62.55,-93.41,0.7,-0.15,0,0,0,62.55,-93.41,62.55,200,14.14,2.09,1517.91,38.96,4.11,-0.88,-0.47
157,69.02,-93.41,0.53,-0.28,0,0,0,69.02,-93.41,69.02,200,14.14,2.09,996.28,31.56,3.69,0.73,0.69
158,19.94,-90.9,0.66,-0.18,0,0,0,19.94,-90.9,19.94,858.29,29.3,3.54,68.12,8.25,1.12,-0.99,0.14
