region_id,centroid_x,centroid_y,Precipitation,Log Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
105,34.64,-3.05,0.16,-0.79,1.0,1.0,0.0,34.64,-3.05,34.64,0.00,0.00,0.00,0.00,0.00,0.00,-0.81,0.59
106,37.87,-3.05,0.27,-0.57,1.0,1.0,0.0,37.87,-3.05,37.87,100.58,10.03,1.45,49.89,7.06,0.88,0.96,0.29
107,41.25,-3.05,0.59,-0.23,1.0,0.0,0.0,41.25,-3.05,41.25,1247.69,35.32,3.91,114.85,10.72,1.57,-0.69,0.73
108,34.64,-0.54,0.17,-0.76,1.0,0.0,0.0,34.64,-0.54,34.64,0.00,0.00,0.00,40.31,6.35,0.74,0.08,1.00
109,37.87,-0.54,0.26,-0.58,1.0,1.0,0.0,37.87,-0.54,37.87,0.00,0.00,0.00,0.00,0.00,0.00,-0.99,-0.16
110,41.25,-0.54,0.62,-0.21,0.0,1.0,0.0,41.25,-0.54,41.25,995.42,31.55,3.68,130.98,11.44,1.69,0.98,0.22
111,57.32,-0.54,1.12,0.05,1.0,0.0,0.0,57.32,-0.54,57.32,0.00,0.00,0.00,0.00,0.00,0.00,-0.99,-0.13
112,31.53,1.97,0.10,-1.01,1.0,0.0,0.0,31.53,1.97,31.53,651.22,25.52,3.26,198.51,14.09,2.09,0.96,0.27
113,37.87,1.97,0.26,-0.58,0.0,1.0,0.0,37.87,1.97,37.87,0.00,0.00,0.00,0.00,0.00,0.00,0.99,-0.12
114,41.25,1.97,0.66,-0.18,0.0,1.0,0.0,41.25,1.97,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.97,-0.23
115,48.63,1.97,1.15,0.06,1.0,0.0,0.0,48.63,1.97,48.63,190.62,13.81,2.05,144.67,12.03,1.78,-0.74,0.68
116,28.52,4.48,0.07,-1.17,0.0,1.0,0.0,28.52,4.48,28.52,136.92,11.70,1.73,331.60,18.21,2.59,0.00,1.00
117,37.87,4.48,0.27,-0.56,0.0,1.0,0.0,37.87,4.48,37.87,0.00,0.00,0.00,0.00,0.00,0.00,-0.88,-0.47
118,41.25,4.48,0.59,-0.23,1.0,0.0,0.0,41.25,4.48,41.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.98,0.21
119,48.63,4.48,1.16,0.06,1.0,0.0,0.0,48.63,4.48,48.63,290.76,17.05,2.46,156.47,12.51,1.86,-0.22,0.98
120,1.30,6.99,3.02,0.48,1.0,0.0,0.0,1.30,6.99,1.30,0.00,0.00,0.00,0.00,0.00,0.00,-0.96,0.29
121,3.91,6.99,2.46,0.39,1.0,0.0,0.0,3.91,6.99,3.91,117.87,10.86,1.59,156.85,12.52,1.86,0.00,-1.00
122,44.82,6.99,0.95,-0.02,1.0,1.0,0.0,44.82,6.99,44.82,1180.87,34.36,3.86,91.41,9.56,1.36,0.00,-1.00
123,48.63,6.99,1.04,0.02,1.0,0.0,0.0,48.63,6.99,48.63,253.37,15.92,2.33,265.26,16.29,2.37,-0.81,0.59
124,52.75,6.99,0.97,-0.02,1.0,0.0,0.0,52.75,6.99,52.75,0.53,0.73,0.01,27.95,5.29,0.53,0.01,-1.00
125,-1.30,9.50,2.32,0.36,1.0,0.0,0.0,-1.30,9.50,1.30,398.72,19.97,2.77,221.32,14.88,2.19,-0.76,0.65
126,6.53,9.50,1.50,0.18,1.0,0.0,0.0,6.53,9.50,6.53,460.15,21.45,2.92,499.86,22.36,3.00,-0.45,-0.90
127,31.53,9.50,0.16,-0.80,1.0,0.0,0.0,31.53,9.50,31.53,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.52
128,37.87,9.50,0.33,-0.49,1.0,0.0,0.0,37.87,9.50,37.87,0.00,0.00,0.00,0.00,0.00,0.00,0.95,-0.32
129,44.82,9.50,0.85,-0.07,1.0,0.0,0.0,44.82,9.50,44.82,0.00,0.00,0.00,0.00,0.00,0.00,0.89,-0.45
130,48.63,9.50,0.83,-0.08,1.0,1.0,0.0,48.63,9.50,48.63,431.61,20.78,2.85,319.26,17.87,2.55,-0.00,1.00
131,25.59,12.01,0.07,-1.13,1.0,0.0,0.0,25.59,12.01,25.59,375.40,19.38,2.71,498.84,22.33,3.00,0.48,0.88
132,28.52,12.01,0.17,-0.77,0.0,1.0,0.0,28.52,12.01,28.52,195.13,13.97,2.07,190.50,13.80,2.05,0.50,0.87
133,37.87,12.01,0.36,-0.44,1.0,0.0,0.0,37.87,12.01,37.87,0.00,0.00,0.00,0.00,0.00,0.00,-0.77,-0.63
134,41.25,12.01,0.67,-0.17,1.0,0.0,0.0,41.25,12.01,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.54
135,44.82,12.01,0.73,-0.14,1.0,0.0,0.0,44.82,12.01,44.82,438.10,20.93,2.87,100.14,10.01,1.44,-0.41,-0.91
136,48.63,12.01,0.77,-0.11,1.0,0.0,0.0,48.63,12.01,48.63,479.04,21.89,2.96,265.95,16.31,2.37,0.13,0.99
137,31.53,14.52,0.24,-0.61,1.0,0.0,0.0,31.53,14.52,31.53,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.50
138,34.64,14.52,0.32,-0.50,1.0,0.0,0.0,34.64,14.52,34.64,0.00,0.00,0.00,0.00,0.00,0.00,0.88,-0.47
139,37.87,14.52,0.39,-0.41,1.0,0.0,0.0,37.87,14.52,37.87,0.00,0.00,0.00,0.00,0.00,0.00,0.95,-0.30
140,41.25,14.52,0.57,-0.24,1.0,0.0,0.0,41.25,14.52,41.25,0.00,0.00,0.00,0.00,0.00,0.00,-0.95,-0.32
141,44.82,14.52,0.59,-0.23,1.0,1.0,0.0,44.82,14.52,44.82,199.18,14.11,2.09,249.34,15.79,2.31,-0.82,-0.58
142,48.63,14.52,0.79,-0.10,1.0,0.0,0.0,48.63,14.52,48.63,333.18,18.25,2.60,301.02,17.35,2.50,-0.47,0.88
143,-31.53,17.03,0.64,-0.20,1.0,0.0,0.0,-31.53,17.03,31.53,486.33,22.05,2.97,192.93,13.89,2.06,-1.00,0.01
144,-28.52,17.03,0.81,-0.09,0.0,1.0,0.0,-28.52,17.03,28.52,504.73,22.47,3.01,337.39,18.37,2.61,-0.87,-0.50
145,-19.94,17.03,1.17,0.07,0.0,1.0,0.0,-19.94,17.03,19.94,534.17,23.11,3.06,640.47,25.31,3.24,-0.89,-0.46
146,25.59,17.03,0.14,-0.85,1.0,0.0,0.0,25.59,17.03,25.59,179.77,13.41,1.99,217.17,14.74,2.17,0.21,0.98
147,34.64,17.03,0.33,-0.49,1.0,0.0,0.0,34.64,17.03,34.64,0.00,0.00,0.00,0.00,0.00,0.00,-0.44,-0.90
148,37.87,17.03,0.40,-0.39,1.0,0.0,0.0,37.87,17.03,37.87,0.00,0.00,0.00,0.00,0.00,0.00,-0.50,-0.87
149,41.25,17.03,0.68,-0.17,1.0,1.0,0.0,41.25,17.03,41.25,1154.58,33.98,3.83,52.94,7.28,0.92,-0.85,-0.53
150,44.82,17.03,0.68,-0.17,1.0,1.0,0.0,44.82,17.03,44.82,38.30,6.19,0.71,278.45,16.69,2.42,0.86,-0.51
151,48.63,17.03,0.82,-0.09,1.0,1.0,0.0,48.63,17.03,48.63,442.08,21.03,2.88,401.70,20.04,2.78,-0.35,0.94
152,-37.87,19.54,0.59,-0.23,1.0,0.0,0.0,-37.87,19.54,37.87,0.00,0.00,0.00,0.00,0.00,0.00,0.02,-1.00
153,-34.64,19.54,0.74,-0.13,1.0,0.0,0.0,-34.64,19.54,34.64,415.35,20.38,2.81,174.42,13.21,1.96,0.49,-0.87
154,37.87,19.54,0.42,-0.38,1.0,0.0,0.0,37.87,19.54,37.87,837.45,28.94,3.51,80.42,8.97,1.25,0.49,0.87
155,41.25,19.54,0.64,-0.19,1.0,0.0,0.0,41.25,19.54,41.25,885.30,29.75,3.57,116.05,10.77,1.58,0.70,-0.72
156,44.82,19.54,0.59,-0.23,1.0,0.0,0.0,44.82,19.54,44.82,395.07,19.88,2.76,151.42,12.31,1.83,0.24,-0.97
157,34.64,22.05,0.32,-0.49,1.0,0.0,0.0,34.64,22.05,34.64,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,-0.98
158,37.87,22.05,0.44,-0.35,1.0,0.0,0.0,37.87,22.05,37.87,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.64
159,41.25,22.05,0.49,-0.31,1.0,1.0,0.0,41.25,22.05,41.25,508.83,22.56,3.02,83.92,9.16,1.29,-0.06,-1.00
160,44.82,22.05,0.49,-0.31,1.0,1.0,0.0,44.82,22.05,44.82,1325.47,36.41,3.97,157.94,12.57,1.87,0.98,-0.22
161,31.53,24.56,0.18,-0.74,1.0,1.0,0.0,31.53,24.56,31.53,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00
162,34.64,24.56,0.31,-0.51,1.0,1.0,0.0,34.64,24.56,34.64,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-1.00
163,37.87,24.56,0.42,-0.38,1.0,1.0,0.0,37.87,24.56,37.87,452.27,21.27,2.90,51.57,7.18,0.90,-0.96,0.28
164,41.25,24.56,0.44,-0.36,1.0,0.0,0.0,41.25,24.56,41.25,185.25,13.61,2.02,45.48,6.74,0.82,0.80,0.60
165,44.82,24.56,0.48,-0.32,1.0,1.0,0.0,44.82,24.56,44.82,0.40,0.63,0.01,36.18,6.01,0.67,-0.14,-0.99
166,48.63,24.56,0.78,-0.11,1.0,0.0,0.0,48.63,24.56,48.63,249.02,15.78,2.31,185.97,13.64,2.02,-0.23,-0.97
167,34.64,27.07,0.31,-0.52,1.0,0.0,0.0,34.64,27.07,34.64,0.00,0.00,0.00,0.00,0.00,0.00,-0.24,-0.97
168,37.87,27.07,0.35,-0.46,1.0,1.0,0.0,37.87,27.07,37.87,1025.52,32.02,3.71,208.19,14.43,2.13,-0.03,-1.00
169,25.59,29.58,0.10,-1.01,0.0,1.0,0.0,25.59,29.58,25.59,482.32,21.96,2.96,173.73,13.18,1.96,0.81,0.59
170,34.64,29.58,0.27,-0.57,1.0,1.0,0.0,34.64,29.58,34.64,0.00,0.00,0.00,0.00,0.00,0.00,0.05,-1.00
